ClaudeCode Rankings 2025 SF
Overall,Bye Week,Tags,Expert Notes,,QB,Bye Week,Tags,Expert Notes,,RB,Bye Week,Tags,Expert Notes,,WR,Bye Week,Tags,Expert Notes,,TE,Bye Week,Tags,Expert Notes,,
Blake Corum (RB - LAR),8,,,,,,,,,JaMycal Hasty - ,,,,,Isaiah Hodgins - SF,14,,,,,,,,,
Jordan Mason (RB - MIN),6,,,,,,,,,Kendall Milton - CIN,10,,,,Bo Melton - GB,5,,,,,,,,,
Jaylen Wright (RB - MIA),12,,,,,,,,,Zonovan Knight - NYJ,9,,,,Tylan Wallace - BAL,7,,,,,,,,,
Isaiah Likely (TE - BAL),7,,,,,,,,,Julius Chestnut - TEN,10,,,,Kalif Raymond - DET,8,,,,,,,,,
Pat Freiermuth (TE - PIT),5,,,,,,,,,Kene Nwangwu - NYJ,9,,,,Olamide Zaccheaus - CHI,5,,,,,,,,,
Jake Ferguson (TE - DAL),10,,,,,,,,,Darrynton Evans - BUF,7,,,,Jimmy Horn Jr. - CAR,14,,,,,,,,,
Tank Dell (WR - HOU),6,,,,,,,,,Jaret Patterson - LAC,12,,,,Jamaal Pritchett - NYJ,9,,,,,,,,,
Mason Taylor (TE - NYJ),9,,,,,,,,,Malik Davis - ,,,,,Bub Means - NO,11,,,,,,,,,
Quentin Johnston (WR - LAC),12,,,,,,,,,Tyrion Davis-Price - TEN,10,,,,Xavier Hutchinson - HOU,6,,,,,,,,,
Jaydon Blue (RB - DAL),10,,,,,,,,,Kyle Juszczyk - SF,14,,,,Brenden Rice - LAC,12,,,,,,,,,
Isaac Guerendo (RB - SF),14,,,,,,,,,Royce Freeman - ,,,,,A.T. Perry - DEN,12,,,,,,,,,
Cade Otton (TE - TB),9,,,,,,,,,Corey Kiner - SF,14,,,,Konata Mumpfield - LAR,8,,,,,,,,,
Rico Dowdle (RB - CAR),14,,,,,,,,,Chris Evans - ,,,,,Hunter Renfrow - CAR,14,,,,,,,,,
Elijah Arroyo (TE - SEA),8,,,,,,,,,Trayveon Williams - NE,14,,,,Sterling Shepard - TB,9,,,,,,,,,
Braelon Allen (RB - NYJ),9,,,,,,,,,Jerick McKinnon - ,,,,,Johnny Wilson - PHI,9,,,,,,,,,
Tyler Allgeier (RB - ATL),5,,,,,,,,,Louis Rees-Zammit - JAC,8,,,,Jamari Thrash - CLE,9,,,,,,,,,
Cole Kmet (TE - CHI),5,,,,,,,,,Nyheim Hines - ,,,,,Dominic Lovett - DET,8,,,,,,,,,
Hunter Henry (TE - NE),14,,,,,,,,,Ke'Shawn Vaughn - ,,,,,LaJohntay Wester - BAL,7,,,,,,,,,
Ja'Tavion Sanders (TE - CAR),14,,,,,,,,,Mario Anderson - ,,,,,Tyler Johnson - NYJ,9,,,,,,,,,
MarShawn Lloyd (RB - GB),5,,,,,,,,,Demetric Felton Jr. - WAS,12,,,,Ainias Smith - PHI,9,,,,,,,,,
Jerome Ford (RB - CLE),9,,,,,,,,,Michael Wiley - WAS,12,,,,Skyy Moore - KC,10,,,,,,,,,
DJ Giddens (RB - IND),11,,,,,,,,,Emani Bailey - CAR,14,,,,Tyler Scott - CHI,5,,,,,,,,,
Jalen Coker (WR - CAR),14,,,,,,,,,Jordan Mims - ,,,,,Justin Watson - HOU,6,,,,,,,,,
Harold Fannin Jr. (TE - CLE),9,,,,,,,,,J.J. Taylor - HOU,6,,,,David Bell - CLE,9,,,,,,,,,
Adonai Mitchell (WR - IND),11,,,,,,,,,Joshua Kelley - ,,,,,Parris Campbell - DAL,10,,,,,,,,,
Mike Gesicki (TE - CIN),10,,,,,,,,,Dillon Johnson - ,,,,,Nelson Agholor - ,,,,,,,,,,
Chig Okonkwo (TE - TEN),10,,,,,,,,,Deneric Prince - ,,,,,Terrace Marshall Jr. - PHI,9,,,,,,,,,
Wan'Dale Robinson (WR - NYG),14,,,,,,,,,Isaiah Spiller - ,,,,,Tyquan Thornton - KC,10,,,,,,,,,
Jonathon Brooks (RB - CAR),14,,,,,,,,,Daijun Edwards - ,,,,,DJ Chark Jr. - ,,,,,,,,,,
Roschon Johnson (RB - CHI),5,,,,,,,,,Kevin Harris - ,,,,,Charlie Jones - CIN,10,,,,,,,,,
J.K. Dobbins (RB - ),,,,,,,,,,Latavius Murray - ,,,,,Kaden Prather - BUF,7,,,,,,,,,
Devin Neal (RB - NO),11,,,,,,,,,Leonard Fournette - ,,,,,Jalen Reagor - LAC,12,,,,,,,,,
Jaylin Noel (WR - HOU),6,,,,,,,,,Darrell Henderson Jr. - ,,,,,Xavier Gipson - NYJ,9,,,,,,,,,
Jaleel McLaughlin (RB - DEN),12,,,,,,,,,DeWayne McBride - ,,,,,Cedrick Wilson Jr. - NO,11,,,,,,,,,
Elic Ayomanor (WR - TEN),10,,,,,,,,,Xazavian Valladay - NO,11,,,,David Moore - CAR,14,,,,,,,,,
Dalton Schultz (TE - HOU),6,,,,,,,,,Boston Scott - ,,,,,Derius Davis - LAC,12,,,,,,,,,
Christian Watson (WR - GB),5,,,,,,,,,James Robinson - ,,,,,Michael Gallup - WAS,12,,,,,,,,,
Dontayvion Wicks (WR - GB),5,,,,,,,,,Lew Nichols III - PHI,9,,,,Tahj Washington - MIA,12,,,,,,,,,
Theo Johnson (TE - NYG),14,,,,,,,,,Myles Gaskin - ,,,,,Lil'Jordan Humphrey - NYG,14,,,,,,,,,
DeMario Douglas (WR - NE),14,,,,,,,,,Matt Breida - ,,,,,Ryan Flournoy - DAL,10,,,,,,,,,
DeAndre Hopkins (WR - BAL),7,,,,,,,,,Deon Jackson - ,,,,,Devin Duvernay - CHI,5,,,,,,,,,
Amari Cooper (WR - ),,,,,,,,,,Eno Benjamin - ,,,,,Rakim Jarrett - TB,9,,,,,,,,,
Brenton Strange (TE - JAC),8,,,,,,,,,Tony Jones Jr. - ,,,,,Mecole Hardman Jr. - GB,5,,,,,,,,,
Jalen Royals (WR - KC),10,,,,,,,,,Miyan Williams - ,,,,,Robert Woods - PIT,5,,,,,,,,,
Keenan Allen (WR - ),,,,,,,,,,Snoop Conner - ,,,,,Justyn Ross - KC,10,,,,,,,,,
Joshua Palmer (WR - BUF),7,,,,,,,,,Melvin Gordon III - ,,,,,Kyle Philips - LV,8,,,,,,,,,
Alec Pierce (WR - IND),11,,,,,,,,,Ronald Jones II - ,,,,,Braxton Berrios - HOU,6,,,,,,,,,
Dylan Sampson (RB - CLE),9,,,,,,,,,Dontrell Hilliard - ,,,,,Donovan Peoples-Jones - NO,11,,,,,,,,,
Audric Estime (RB - DEN),12,,,,,,,,,Jashaun Corbin - ,,,,,Ashton Dulin - IND,11,,,,,,,,,
Diontae Johnson (WR - CLE),9,,,,,,,,,Marlon Mack - ,,,,,Odell Beckham Jr. - ,,,,,,,,,,
Adam Thielen (WR - CAR),14,,,,,,,,,Mohamed Ibrahim - ,,,,,Kadarius Toney - ,,,,,,,,,,
Roman Wilson (WR - PIT),5,,,,,,,,,Brandon Bolden - ,,,,,Kelly Akharaiyi - BUF,7,,,,,,,,,
Austin Ekeler (RB - WAS),12,,,,,,,,,La'Mical Perine - ,,,,,Isaiah Williams - CIN,10,,,,,,,,,
Zach Ertz (TE - WAS),12,,,,,,,,,Kenyan Drake - ,,,,,KhaDarel Hodge - ATL,5,,,,,,,,,
Michael Wilson (WR - ARI),8,,,,,,,,,Jake Funk - ,,,,,Casey Washington - ATL,5,,,,,,,,,
Andrei Iosivas (WR - CIN),10,,,,,,,,,Anthony McFarland Jr. - ,,,,,Jalen Brooks - DAL,10,,,,,,,,,
Nick Chubb (RB - ),,,,,,,,,,Derrick Gore - ,,,,,Jha'Quan Jackson - TEN,10,,,,,,,,,
Ben Sinnott (TE - WAS),12,,,,,,,,,J.D. McKissic - ,,,,,Kobe Hudson - CAR,14,,,,,,,,,
Shedeur Sanders (QB - CLE),9,,,,,,,,,Darrel Williams - ,,,,,Zach Pascal - NYG,14,,,,,,,,,
Kendre Miller (RB - NO),11,,,,,,,,,Ty Montgomery II - ,,,,,Da'Quan Felton - NYG,14,,,,,,,,,
Tyler Shough (QB - NO),11,,,,,,,,,Trestan Ebner - ,,,,,KJ Hamler - BUF,7,,,,,,,,,
Daniel Jones (QB - IND),11,,,,,,,,,Qadree Ollison - ,,,,,Malik Heath - GB,5,,,,,,,,,
Troy Franklin (WR - DEN),12,,,,,,,,,Larry Rountree III - ,,,,,Anthony Gould - IND,11,,,,,,,,,
Aaron Rodgers (QB - PIT),5,,,,,,,,,,,,,,Michael Thomas - ,,,,,,,,,,
Antonio Gibson (RB - NE),14,,,,,,,,,,,,,,Ben Skowronek - PIT,5,,,,,,,,,
Ollie Gordon II (RB - MIA),12,,,,,,,,,,,,,,Jamison Crowder - ,,,,,,,,,,
Terrance Ferguson (TE - LAR),8,,,,,,,,,,,,,,Laviska Shenault Jr. - BUF,7,,,,,,,,,
Tyler Lockett (WR - TEN),10,,,,,,,,,,,,,,Danny Gray - PHI,9,,,,,,,,,
Will Levis (QB - TEN),10,,,,,,,,,,,,,,Ronnie Bell - DET,8,,,,,,,,,
Kirk Cousins (QB - ATL),5,,,,,,,,,,,,,,Ja'Corey Brooks - WAS,12,,,,,,,,,
Jameis Winston (QB - NYG),14,,,,,,,,,,,,,,Zakhari Franklin - LV,8,,,,,,,,,
Will Howard (QB - PIT),5,,,,,,,,,,,,,,Dee Eskridge - MIA,12,,,,,,,,,
Devin Singletary (RB - NYG),14,,,,,,,,,,,,,,Bru McCoy - ,,,,,,,,,,
Mason Rudolph (QB - PIT),5,,,,,,,,,,,,,,Dez Fitzpatrick - LAC,12,,,,,,,,,
Aidan O'Connell (QB - LV),8,,,,,,,,,,,,,,Jaelon Darden - ,,,,,,,,,,
Dillon Gabriel (QB - CLE),9,,,,,,,,,,,,,,Chase Claypool - ,,,,,,,,,,
Deshaun Watson (QB - CLE),9,,,,,,,,,,,,,,Chris Moore - WAS,12,,,,,,,,,
Kayshon Boutte (WR - NE),14,,,,,,,,,,,,,,Trent Sherfield Sr. - DEN,12,,,,,,,,,
Elijah Moore (WR - BUF),7,,,,,,,,,,,,,,Steven Sims Jr. - SEA,8,,,,,,,,,
Jalen Tolbert (WR - DAL),10,,,,,,,,,,,,,,Bryce Ford-Wheaton - NYG,14,,,,,,,,,
Malik Washington (WR - MIA),12,,,,,,,,,,,,,,Jason Brownlee - KC,10,,,,,,,,,
Darius Slayton (WR - NYG),14,,,,,,,,,,,,,,Brandon Johnson - PIT,5,,,,,,,,,
Kareem Hunt (RB - KC),10,,,,,,,,,,,,,,Quez Watkins - ARI,8,,,,,,,,,
Keaton Mitchell (RB - BAL),7,,,,,,,,,,,,,,Marquez Callaway - ,,,,,,,,,,
Jarquez Hunter (RB - LAR),8,,,,,,,,,,,,,,Simi Fehoko - ARI,8,,,,,,,,,
Brandin Cooks (WR - NO),11,,,,,,,,,,,,,,DeAndre Carter - CLE,9,,,,,,,,,
Will Shipley (RB - PHI),9,,,,,,,,,,,,,,Allen Robinson II - ,,,,,,,,,,
Parker Washington (WR - JAC),8,,,,,,,,,,,,,,Jalen Guyton - ,,,,,,,,,,
Devaughn Vele (WR - DEN),12,,,,,,,,,,,,,,Deonte Harty - ,,,,,,,,,,
Khalil Herbert (RB - IND),11,,,,,,,,,,,,,,Velus Jones Jr. - NO,11,,,,,,,,,
Ja'Lynn Polk (WR - NE),14,,,,,,,,,,,,,,Scotty Miller - PIT,5,,,,,,,,,
Luke McCaffrey (WR - WAS),12,,,,,,,,,,,,,,Collin Johnson - LV,8,,,,,,,,,
Pat Bryant (WR - DEN),12,,,,,,,,,,,,,,Tre'Quan Smith - ,,,,,,,,,,
Calvin Austin III (WR - PIT),5,,,,,,,,,,,,,,Dante Pettis - NO,11,,,,,,,,,
Tory Horton (WR - SEA),8,,,,,,,,,,,,,,Richie James Jr. - ,,,,,,,,,,
Miles Sanders (RB - DAL),10,,,,,,,,,,,,,,Ihmir Smith-Marsette - NYG,14,,,,,,,,,
Xavier Restrepo (WR - TEN),10,,,,,,,,,,,,,,Tejhaun Palmer - ARI,8,,,,,,,,,
Jordan Whittington (WR - LAR),8,,,,,,,,,,,,,,N'Keal Harry - ,,,,,,,,,,
Zack Moss (RB - CIN),10,,,,,,,,,,,,,,Trenton Irwin - JAC,8,,,,,,,,,
Elijah Mitchell (RB - KC),10,,,,,,,,,,,,,,Russell Gage Jr. - SF,14,,,,,,,,,
Kimani Vidal (RB - LAC),12,,,,,,,,,,,,,,Grant DuBose - ,,,,,,,,,,
Gabe Davis (WR - ),,,,,,,,,,,,,,,Erik Ezukanma - MIA,12,,,,,,,,,
Noah Fant (TE - SEA),8,,,,,,,,,,,,,,Justin Shorter - LV,8,,,,,,,,,
Isaiah Davis (RB - NYJ),9,,,,,,,,,,,,,,Samori Toure - CHI,5,,,,,,,,,
Trevor Etienne (RB - CAR),14,,,,,,,,,,,,,,Marcus Rosemy-Jacksaint - ,,,,,,,,,,
Spencer Rattler (QB - NO),11,,,,,,,,,,,,,,Michael Strachan - WAS,12,,,,,,,,,
Joe Flacco (QB - CLE),9,,,,,,,,,,,,,,Jamal Agnew - ATL,5,,,,,,,,,
Tez Johnson (WR - TB),9,,,,,,,,,,,,,,Miles Boykin - CHI,5,,,,,,,,,
Savion Williams (WR - GB),5,,,,,,,,,,,,,,,,,,,,,,,,
Justice Hill (RB - BAL),7,,,,,,,,,,,,,,,,,,,,,,,,
Damien Martinez (RB - SEA),8,,,,,,,,,,,,,,,,,,,,,,,,
Joe Milton III (QB - DAL),10,,,,,,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa (WR - DET),8,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Burton (WR - CIN),10,,,,,,,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine (WR - MIA),12,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell (RB - PIT),5,,,,,,,,,,,,,,,,,,,,,,,,
Tahj Brooks (RB - CIN),10,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Bond (WR - ),,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Ewers (QB - MIA),12,,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis (QB - GB),5,,,,,,,,,,,,,,,,,,,,,,,,
Javon Baker (WR - NE),14,,,,,,,,,,,,,,,,,,,,,,,,
Mac Jones (QB - SF),14,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell (WR - LAR),8,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai (RB - CHI),5,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Minshew II (QB - KC),10,,,,,,,,,,,,,,,,,,,,,,,,
Mike Williams (WR - LAC),12,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks (RB - HOU),6,,,,,,,,,,,,,,,,,,,,,,,,
Sean Tucker (RB - TB),9,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown (WR - JAC),8,,,,,,,,,,,,,,,,,,,,,,,,
Tre Tucker (WR - LV),8,,,,,,,,,,,,,,,,,,,,,,,,
Dameon Pierce (RB - HOU),6,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson (TE - NO),11,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Corley (WR - NYJ),9,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Pickett (QB - CLE),9,,,,,,,,,,,,,,,,,,,,,,,,
Raheem Mostert (RB - LV),8,,,,,,,,,,,,,,,,,,,,,,,,
Noah Gray (TE - KC),10,,,,,,,,,,,,,,,,,,,,,,,,
Michael Mayer (TE - LV),8,,,,,,,,,,,,,,,,,,,,,,,,
Riley Leonard (QB - IND),11,,,,,,,,,,,,,,,,,,,,,,,,
Tai Felton (WR - MIN),6,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill (TE - NO),11,,,,,,,,,,,,,,,,,,,,,,,,
Brashard Smith (RB - KC),10,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Garoppolo (QB - LAR),8,,,,,,,,,,,,,,,,,,,,,,,,
Hendon Hooker (QB - DET),8,,,,,,,,,,,,,,,,,,,,,,,,
Jahan Dotson (WR - PHI),9,,,,,,,,,,,,,,,,,,,,,,,,
Oronde Gadsden II (TE - LAC),12,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Samuel (WR - BUF),7,,,,,,,,,,,,,,,,,,,,,,,,
Jordan James (RB - SF),14,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Mattison (RB - MIA),12,,,,,,,,,,,,,,,,,,,,,,,,
Jake Browning (QB - CIN),10,,,,,,,,,,,,,,,,,,,,,,,,
Dont'e Thornton Jr. (WR - LV),8,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie III (WR - HOU),6,,,,,,,,,,,,,,,,,,,,,,,,
Sincere McCormick (RB - LV),8,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Nailor (WR - MIN),6,,,,,,,,,,,,,,,,,,,,,,,,
Ty Johnson (RB - BUF),7,,,,,,,,,,,,,,,,,,,,,,,,
Sam Howell (QB - MIN),6,,,,,,,,,,,,,,,,,,,,,,,,
Jalin Hyatt (WR - NYG),14,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly (TE - LAC),12,,,,,,,,,,,,,,,,,,,,,,,,
Kyle McCord (QB - PHI),9,,,,,,,,,,,,,,,,,,,,,,,,
Ty Chandler (RB - MIN),6,,,,,,,,,,,,,,,,,,,,,,,,
Zamir White (RB - LV),8,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Higbee (TE - LAR),8,,,,,,,,,,,,,,,,,,,,,,,,
Noah Brown (WR - WAS),12,,,,,,,,,,,,,,,,,,,,,,,,
Luke Musgrave (TE - GB),5,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Lane (WR - WAS),12,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Rush (QB - BAL),7,,,,,,,,,,,,,,,,,,,,,,,,
Cam Akers (RB - ),,,,,,,,,,,,,,,,,,,,,,,,,
Demarcus Robinson (WR - SF),14,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Conklin (TE - LAC),12,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar Helm (TE - TEN),10,,,,,,,,,,,,,,,,,,,,,,,,
Chimere Dike (WR - TEN),10,,,,,,,,,,,,,,,,,,,,,,,,
Zach Wilson (QB - MIA),12,,,,,,,,,,,,,,,,,,,,,,,,
Trey Lance (QB - LAC),12,,,,,,,,,,,,,,,,,,,,,,,,
Devontez Walker (WR - BAL),7,,,,,,,,,,,,,,,,,,,,,,,,
Erick All Jr. (TE - CIN),10,,,,,,,,,,,,,,,,,,,,,,,,
Carson Wentz (QB - ),,,,,,,,,,,,,,,,,,,,,,,,,
Gus Edwards (RB - ),,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt (RB - WAS),12,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox (TE - BUF),7,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Dillon (RB - PHI),9,,,,,,,,,,,,,,,,,,,,,,,,
Cade Stover (TE - HOU),6,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez Jr. (RB - WAS),12,,,,,,,,,,,,,,,,,,,,,,,,
Tim Patrick (WR - DET),8,,,,,,,,,,,,,,,,,,,,,,,,
Treylon Burks (WR - TEN),10,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin (WR - DAL),10,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Mingo (WR - DAL),10,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Washington (TE - PIT),5,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud III (WR - ATL),5,,,,,,,,,,,,,,,,,,,,,,,,
AJ Barner (TE - SEA),8,,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Stidham (QB - DEN),12,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Cowing (WR - SF),14,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne (WR - NE),14,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper (TE - NE),14,,,,,,,,,,,,,,,,,,,,,,,,
Jacoby Brissett (QB - ARI),8,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Ruckert (TE - NYJ),9,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dortch (WR - ARI),8,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling (WR - SEA),8,,,,,,,,,,,,,,,,,,,,,,,,
Foster Moreau (TE - NO),11,,,,,,,,,,,,,,,,,,,,,,,,
Raheim Sanders (RB - LAC),12,,,,,,,,,,,,,,,,,,,,,,,,
Tyrod Taylor (QB - NYJ),9,,,,,,,,,,,,,,,,,,,,,,,,
Luke Schoonmaker (TE - DAL),10,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson (RB - GB),5,,,,,,,,,,,,,,,,,,,,,,,,
LeQuint Allen Jr. (RB - JAC),8,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Watkins (WR - SF),14,,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard (WR - NYJ),9,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brooks (RB - GB),5,,,,,,,,,,,,,,,,,,,,,,,,
Drew Lock (QB - SEA),8,,,,,,,,,,,,,,,,,,,,,,,,
Trey Palmer (WR - TB),9,,,,,,,,,,,,,,,,,,,,,,,,
Samaje Perine (RB - CIN),10,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins (WR - NE),14,,,,,,,,,,,,,,,,,,,,,,,,
Ricky White III (WR - SEA),8,,,,,,,,,,,,,,,,,,,,,,,,
Josh Reynolds (WR - NYJ),9,,,,,,,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith (WR - LAC),12,,,,,,,,,,,,,,,,,,,,,,,,
Zay Jones (WR - ARI),8,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dulcich (TE - NYG),14,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bellinger (TE - NYG),14,,,,,,,,,,,,,,,,,,,,,,,,
Nick Nash (WR - ATL),5,,,,,,,,,,,,,,,,,,,,,,,,
Grant Calcaterra (TE - PHI),9,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Evans (TE - CAR),14,,,,,,,,,,,,,,,,,,,,,,,,
Luke Lachey (TE - HOU),6,,,,,,,,,,,,,,,,,,,,,,,,
Arian Smith (WR - NYJ),9,,,,,,,,,,,,,,,,,,,,,,,,
Rondale Moore (WR - MIN),6,,,,,,,,,,,,,,,,,,,,,,,,
Theo Wease Jr. (WR - MIA),12,,,,,,,,,,,,,,,,,,,,,,,,
Antwane Wells Jr. (WR - NYG),14,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Laube (RB - LV),8,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah (RB - ),,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Edwards (RB - NYJ),9,,,,,,,,,,,,,,,,,,,,,,,,
Jake Bobo (WR - SEA),8,,,,,,,,,,,,,,,,,,,,,,,,
Rasheen Ali (RB - BAL),7,,,,,,,,,,,,,,,,,,,,,,,,
Trey Sermon (RB - PIT),5,,,,,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster (WR - KC),10,,,,,,,,,,,,,,,,,,,,,,,,
K.J. Osborn (WR - WAS),12,,,,,,,,,,,,,,,,,,,,,,,,
Jelani Woods (TE - IND),11,,,,,,,,,,,,,,,,,,,,,,,,
Van Jefferson (WR - TEN),10,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Boyd (WR - ),,,,,,,,,,,,,,,,,,,,,,,,,
Efton Chism III (WR - NE),14,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Fidone II (TE - NYG),14,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins (WR - SF),14,,,,,,,,,,,,,,,,,,,,,,,,
Carson Steele (RB - KC),10,,,,,,,,,,,,,,,,,,,,,,,,
Bo Melton (WR - GB),5,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter (RB - ARI),8,,,,,,,,,,,,,,,,,,,,,,,,
Phil Mafah (RB - DAL),10,,,,,,,,,,,,,,,,,,,,,,,,
Josh Oliver (TE - MIN),6,,,,,,,,,,,,,,,,,,,,,,,,
Emari Demercado (RB - ARI),8,,,,,,,,,,,,,,,,,,,,,,,,
Ezekiel Elliott (RB - ),,,,,,,,,,,,,,,,,,,,,,,,,
Kalel Mullings (RB - TEN),10,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble (TE - CAR),14,,,,,,,,,,,,,,,,,,,,,,,,
Clyde Edwards-Helaire (RB - NO),11,,,,,,,,,,,,,,,,,,,,,,,,
Eric Gray (RB - NYG),14,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Yarns (RB - NO),11,,,,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace (WR - BAL),7,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond (WR - DET),8,,,,,,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus (WR - CHI),5,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Horn Jr. (WR - CAR),14,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Quinden Jackson (RB - JAC),8,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Pritchett (WR - NYJ),9,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Strong Jr. (RB - CLE),9,,,,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson (TE - LAR),8,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Bryant (TE - PHI),9,,,,,,,,,,,,,,,,,,,,,,,,
Bub Means (WR - NO),11,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson (WR - HOU),6,,,,,,,,,,,,,,,,,,,,,,,,
Brenden Rice (WR - LAC),12,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Bartholomew (TE - MIN),6,,,,,,,,,,,,,,,,,,,,,,,,
A.T. Perry (WR - DEN),12,,,,,,,,,,,,,,,,,,,,,,,,
Konata Mumpfield (WR - LAR),8,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Renfrow (WR - CAR),14,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy McNichols (RB - WAS),12,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Shepard (WR - TB),9,,,,,,,,,,,,,,,,,,,,,,,,
Israel Abanikanda (RB - SF),14,,,,,,,,,,,,,,,,,,,,,,,,
Jared Wiley (TE - KC),10,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Wilson (WR - PHI),9,,,,,,,,,,,,,,,,,,,,,,,,
Jamari Thrash (WR - CLE),9,,,,,,,,,,,,,,,,,,,,,,,,
D'Onta Foreman (RB - ),,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Lovett (WR - DET),8,,,,,,,,,,,,,,,,,,,,,,,,
Davis Allen (TE - LAR),8,,,,,,,,,,,,,,,,,,,,,,,,
Brevin Jordan (TE - HOU),6,,,,,,,,,,,,,,,,,,,,,,,,
Cody Schrader (RB - LAR),8,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Long (TE - JAC),8,,,,,,,,,,,,,,,,,,,,,,,,
Craig Reynolds (RB - DET),8,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Williams (RB - ),,,,,,,,,,,,,,,,,,,,,,,,,
LaJohntay Wester (WR - BAL),7,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Wilson Jr. (RB - ),,,,,,,,,,,,,,,,,,,,,,,,,
Jaheim Bell (TE - NE),14,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Everett (TE - ),,,,,,,,,,,,,,,,,,,,,,,,,
Donald Parham Jr. (TE - PIT),5,,,,,,,,,,,,,,,,,,,,,,,,
